Cardiac arrest non-traumatic	CAN08_CVS_CPRN
Cardiac arrest traumatic	CAN08_CVS_CPRT
Chest pain - cardiac	CAN08_CVS_CPCA
Chest pain - non-cardiac	CAN08_CVS_CPNC
Palpitations/ irregular heart beat	CAN08_CVS_PALP
Hypertension	CAN08_CVS_HYTN
General weakness	CAN08_CVS_WEAK
Syncope./ pre-syncope	CAN08_CVS_SYNC
Oedema - generalised	CAN08_CVS_OEDG
Unilateral leg swelling/ oedema	CAN08_CVS_LEGS
Cool pulseless limb	CAN08_CVS_VASC
Unilateral hot red limb	CAN08_CVS_HOTL
Earache	CAN08_HAN_ACHE
Foreign body ear	CAN08_HAN_FBER
Loss of hearing	CAN08_HAN_LOSS
Tinnitus	CAN08_HAN_TINN
Ear discharge	CAN08_HAN_DISCH
Ear injury	CAN08_HAN_EINJ
Dental problem	CAN08_HAN_DENP
Facial trauma	CAN08_HAN_FACT
Sore throat	CAN08_HAN_SORE
Neck swelling/ pain	CAN08_HAN_NKPN
Neck Trauma	CAN08_HAN_NKTR
Difficulty swallowing	CAN08_HAN_DYSF
Facial pain	CAN08_HAN_FACP
Nosebleed/ epistaxis	CAN08_HAN_NBLD
Nasal congestion/ hayfever	CAN08_HAN_HAYF
Foreign body nose	CAN08_HAN_FBNS
URTI complaints	CAN08_HAN_URTI
Nasal trauma	CAN08_HAN_NOST
Frostbite	CAN08_ENV_FRST
Noxious inhalation	CAN08_ENV_NOXI
Electrical injury	CAN08_ENV_ELEC
Chemical exposure	CAN08_ENV_CHEM
Hypothermia	CAN08_ENV_HYPO
Near drowning	CAN08_ENV_DRWN
Abdominal pain	CAN08_GIT_ABDP
Anorexia	CAN08_GIT_ANRX
Constipation	CAN08_GIT_CONS
Diarrhoea	CAN08_GIT_DIAR
Foreign body in rectum	CAN08_GIT_FBRE
Groin pain/ mass	CAN08_GIT_GRPN
Vomiting and or nausea	CAN08_GIT_VANN
Rectal/ perineal pain	CAN08_GIT_RECP
Vomiting blood	CAN08_GIT_HMTS
